ppid,age,gender,breaks,strategy,change,play_games,guess_purpose,guess_detail,guess_type,challenge,fatigue,performance_hypothesis,ex_1,ex_2,ex_3,ex_4,embodiment_1,immersion_1,immersion_2,clearinstructions,embodiment_2,immersion_3
d1-001,19,m,0,0,0,12.5,0,Awareness of the body's position without vision,Body Awareness,fingertrackers,0,0,5,6,5,2,5,6,6,7,4,2
d1-002,24,m,0,0,0,0,0,Accuracy,Performance,toolfatigue,1,1,3,3,1,4,1,3,4,7,1,1
d1-003,18,m,0,0,0,1,0,Coordination improvement or introduction of strategies,Performance Improvement,toolfatigue,1,1,6,4,7,2,2,7,7,6,2,1
d1-004,18,f,0,1,0,0,0,Bodily and spatial accuracy,Body Awareness,toolfatigue,1,0,7,4,7,1,3,5,5,7,6,1
d1-005,23,m,0,1,0,12,0,Changes in motion when fatigued,Performance Change,toolfatigue,1,1,5,7,7,4,1,6,5,7,5,1
d1-006,23,m,2,0,0,6,0,How interfacing with VR differs from real world,Perception in VR,tool,0,0,1,3,1,2,2,2,1,7,1,1
d1-007,42,f,0,0,0,0,0,Improvement in accuracy,Perfomance Improvement,tool,0,1,6,4,6,2,1,6,7,7,1,1
d1-008,22,m,1,0,0,10,0,Accuracy,Performance,toolfatigue,1,1,2,3,1,2,3,6,7,6,2,2
d1-009,22,f,3,0,0,0,0,Pre-post effect,Performance Change,toolfatigue,1,1,3,3,2,6,2,6,7,6,1,1
d1-010,67,f,2,0,0,0,0,Accuracy & Speed,Performance,toolfatigue,1,1,6,3,7,2,4,6,7,6,1,2
d1-011,46,m,0,0,0,15,0,Coordination,Performance,toolfatigue,0,1,5,7,3,4,3,7,7,6,2,1
d1-012,46,f,1,0,0,0,0,Speed & Accuracy,Performance,toolfatigue,1,1,7,5,6,1,1,6,6,7,1,1
d1-013,34,m,0,0,0,0,0,Accuracy and Response Time improvement,Performance Improvement,posture,0,1,6,4,6,2,3,5,6,7,1,2
d1-014,32,f,0,0,0,0,0,"Consistency, ""Not Rushing""",Performance,tool,0,1,6,7,6,3,6,5,5,4,1,1
d1-015,18,m,0,1,0,5,0,Adaptation & Strategizing,Performance Change,toolfatigue,1,1,2,3,2,1,4,6,6,7,1,1
d1-016,23,m,0,0,0,15,0,Calibrating bodies to VR,VR Development,posture,0,0,4,6,5,2,3,6,6,7,1,1
d1-017,33,f,0,1,0,0,0,Speed & Accuracy,Performance,toolfatigue,1,1,6,5,5,1,1,6,7,6,2,1
d1-018,23,f,0,0,0,10,0,Performance without visual info,Performance,toolfatigue,1,1,3,7,3,1,5,6,7,7,4,1
d1-019,18,m,0,1,0,1,0,Hand-eye coordination,Performance,landmark,0,1,7,5,7,6,3,3,6,7,3,2
d1-020,20,f,6,1,0,2,0,Increase in accuracy,Performance Improvement,toolfatigue,1,1,2,4,2,2,2,6,6,7,1,1
d1-021,20,nb,0,0,0,10,0,Virtual-Real Differences,Performance,toolfatigue,1,1,3,5,4,1,3,6,5,7,3,1
d1-022,20,f,0,0,0,10,0,Virtual-Real Differences,Performance,toolfatigue,1,1,2,3,2,5,5,6,7,7,6,2
d1-023,19,f,6,0,0,0,0,How the brain adapts to VR,Perception in VR,tool,0,0,5,7,6,4,2,4,7,7,2,1
d1-024,52,f,0,0,0,0,0,Accuracy,Performance,toolfatigue,1,1,6,5,6,1,2,5,5,7,1,3
