ppid,time,armlength,perceived,veridical,ratio
d3-001,Pre,34,0.294416666666667,0.344916666666667,85
d3-001,Post,34,0.315383333333333,0.344588888888889,92
d3-002,Pre,34,0.346526190476191,0.362488888888889,96
d3-002,Post,34,0.391995238095238,0.319672222222222,123
d3-003,Pre,34,0.248816666666667,0.3429,73
d3-003,Post,34,0.21525,0.338938888888889,64
d3-004,Pre,30,0.24495,0.311383333333333,79
d3-004,Post,30,0.196966666666667,0.295672222222222,67
d3-005,Pre,27,0.19755,0.270711111111111,73
d3-005,Post,27,0.257376666666667,0.277722222222222,93
d3-007,Pre,26,0.379216666666667,0.252822222222222,150
d3-007,Post,26,0.2689,0.263972222222222,102
d3-008,Pre,26,0.378466666666667,0.262594444444444,144
d3-008,Post,26,0.254166666666667,0.256705555555556,99
d3-009,Pre,26,0.243,0.2556,95
d3-009,Post,26,0.261383333333333,0.25735,102
d3-010,Pre,27,0.2784875,0.271538888888889,103
d3-010,Post,27,0.264269047619048,0.26865,98
d3-011,Pre,25,0.297107142857143,0.24825,120
d3-011,Post,25,0.332666666666667,0.253194444444445,131
d3-012,Pre,26,0.3215375,0.255211111111111,126
d3-012,Post,26,0.370662857142857,0.256316666666667,145
d3-013,Pre,24,0.288966666666667,0.238122222222222,121
d3-013,Post,24,0.236669696969697,0.2329,102
d3-014,Pre,22,0.305433333333333,0.223705555555556,137
d3-014,Post,22,0.254311904761905,0.218338888888889,116
d3-015,Pre,23,0.268,0.219638888888889,122
d3-015,Post,23,0.266683333333333,0.242677777777778,110
d3-016,Pre,25,0.287916666666667,0.255544444444444,113
d3-016,Post,25,0.345783333333333,0.251161111111111,138
d3-017,Pre,25,0.246411904761905,0.245916666666667,100
d3-017,Post,25,0.211554545454545,0.244305555555556,87
d3-018,Pre,22,0.225391666666667,0.224766666666667,100
d3-018,Post,22,0.217085714285714,0.218816666666667,99
d3-019,Pre,23,0.364216666666667,0.22625,161
d3-019,Post,23,0.332883333333333,0.224788888888889,148
d3-020,Pre,26,0.289482142857143,0.257561111111111,112
d3-020,Post,26,0.229884444444444,0.262755555555556,87
d3-021,Pre,23,0.2226,0.22485,99
d3-021,Post,23,0.2722,0.226,120
d3-022,Pre,29,0.292675,0.282327777777778,104
d3-022,Post,29,0.29675,0.287688888888889,103
d3-023,Pre,23,0.35557380952381,0.234511111111111,152
d3-023,Post,23,0.398416666666667,0.231722222222222,172
d3-024,Pre,25,0.2856,0.249877777777778,114
d3-024,Post,25,0.227793333333333,0.252788888888889,90
