ppid,time,trial_num_in_block,start_time,remove_trial
d2-002,post,10,545,0
d2-003,pre,15,280,0
d2-003,post,7,505,0
d2-004,pre,1,410,0
d2-004,pre,2,12800,0
d2-004,pre,4,40456,0
d2-004,pre,6,585,0
d2-005,pre,1,535,0
d2-005,pre,8,480,0
d2-005,pre,9,440,0
d2-005,post,18,350,0
d2-006,pre,3,1025,0
d2-006,pre,18,875,0
d2-006,post,18,570,0
d2-007,pre,1,515,0
d2-007,pre,6,410,0
d2-008,pre,1,1200,0
d2-008,pre,4,12965,0
d2-008,pre,5,2045,0
d2-008,pre,8,0,1
d2-008,pre,9,2155,0
d2-008,pre,10,0,1
d2-010,pre,1,10385,0
d2-011,pre,1,885,0
d2-011,pre,8,385,0
d2-012,pre,3,430,0
d2-012,pre,8,330,0
d2-012,pre,10,330,0
d2-012,post,8,0,0
d2-013,pre,15,200,0
d2-015,pre,8,300,0
d2-017,pre,1,695,0
d2-017,pre,16,450,0
d2-017,post,1,12920,0
d1-018,pre,2,0,1
d2-018,pre,17,300,0
d2-025,pre,4,210,0
